user_id,podcast_name,listen_count
1,Public Figures,6
1,The a16z Show,31
1,The Bible in a Year (with Fr. Mike Schmitz),11
1,Founder's Story,44
1,Start Here,10
1,Therapy for Black Girls,9
1,Live Like the World is Dying,14
1,Founders,16
1,UNBIASED Politics,5
1,Bear Brook,4
1,MrBallen’s Medical Mysteries,3
1,The Skip Podcast,27
1,Digital Social Hour,42
1,TigerBelly,11
1,Vegas Law,12
1,The Rest Is History,12
1,Human Capital Network,9
1,ZOE Science & Nutrition,14
2,Sword and Scale,8
2,"The Pour Over: Politically Neutral, Christ-First News",15
2,Right About Now - Legendary Business Advice,30
2,Paul R. Gloria: Next Level Business Power Podcast,15
2,Laugh Lines with Kim & Penn Holderness,13
2,Change Your Brain Every Day,14
2,The Vergecast,30
2,The Intelligence from The Economist,11
2,The David Pakman Show,10
2,The Dollop with Dave Anthony and Gareth Reynolds,13
2,Armchair Expert with Dax Shepard,5
2,Not Another D&D Podcast,14
2,The Dan Bongino Show,14
2,Who Killed Roxanne?,2
2,Nothing much happens: bedtime stories to help you sleep,6
2,The Binge Crimes: Fatal Fantasy,3
2,The Interface,40
3,Quantum Matters: Where Quantum Computing Gets Real,17
3,This Jungian Life Podcast,8
3,Morbid,2
3,Nobody Should Believe Me,4
3,"Murder, Mystery & Makeup",2
3,Conan O’Brien Needs A Friend,9
3,True Sunlight,3
3,The Digital Executive,26
3,True Crime Garage,1
3,Crime House 24/7,2
4,Galaxy Brain,15
4,Odd Lots,20
4,Serial,10
4,Cover 3 College Football,1
4,"Decoded | Unlock The Secrets of Human Behavior, Emotion and Motivation",7
4,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,4
4,America's Most Infamous Crimes with Katie Ring,4
4,Tony Mantor: Why Not Me ?,6
4,Juicy Scoop with Heather McDonald,12
4,Thoughts on the Market,42
4,Advisory Opinions,14
4,Are You Garbage? Comedy Podcast,5
4,Club Random with Bill Maher,11
4,Learn Italian with Joy of Languages,11
4,The Clip Out - Peloton Fitness News,7
5,The Daily,13
5,Breaking Points with Krystal and Saagar,12
5,Brooke and Jeffrey: Second Date Update,12
5,Coffee Break German,14
5,Maintenance Phase,5
5,Call Her Daddy,13
5,Public Figures,5
5,Blood and Water,1
5,The Last Word with Lawrence O’Donnell,15
5,The AI XR Podcast,30
5,Grab Coffee With Me,43
5,Pleasure Project: Sex and Relationships,6
5,True Crime Obsessed,1
5,Acquired,18
5,Sh!t That Goes On In Our Heads,9
5,Jim Cornette Experience,2
5,The MeidasTouch Podcast,12
5,CHGO Chicago Bears Podcast,1
5,The Pragmatic Engineer,24
5,Fuller Expectations,14
5,The Briefing with Jen Psaki,7
5,The $100 MBA Show,42
6,The Story of Money,18
6,Toni and Ryan,15
6,The Michael Knowles Show,11
6,Call Me Back - with Dan Senor,7
6,The Ultimate Human with Gary Brecka,14
6,The Digital Executive,47
6,This Week in Tech (Audio),30
6,Deadly Nightmares,5
6,EconTalk,11
6,Dumb Blonde,8
6,Perceived Reality,8
6,American Nightmares - Gardens of Evil: Inside The Zion Society Cult,1
6,Pardon My Take,5
6,Laugh Lines with Kim & Penn Holderness,15
6,NerdWallet's Smart Money Podcast,28
6,Comedy Saved Me,8
6,The Dollop with Dave Anthony and Gareth Reynolds,10
6,Timesuck with Dan Cummins,13
6,Giants Nation Show (Giants Podcast),3
6,From Underdog to Entrepreneur: Building Dreams with Pat Miller,38
6,Felger & Massarotti,4
6,The Tony Kornheiser Show,5
7,Therapy for Black Girls,9
7,The Eugene Hamilton Podcast,11
7,Perform with Dr. Andy Galpin,7
7,Perceived Reality,9
7,This Is Important,9
7,KILL TONY,5
7,20/20,2
7,Comedy Saved Me,7
7,What Bitcoin Did,21
7,"Feel Better, Live More with Dr Rangan Chatterjee",12
7,The Economics of Everyday Things,28
7,The Toast,8
8,Sources Tell Jeff Passan,2
8,The Next Level,5
8,Dr. Bob Martin Show,10
8,Main Justice,11
8,No Laying Up - Golf Podcast,3
8,The Prof G Pod with Scott Galloway,45
8,NVIDIA AI Podcast,31
8,Makes Sense - with Dr. JC Doornick,9
8,REAL AF with Andy Frisella,46
8,Rotten Mango,1
8,Escaping the Drift with John Gafford,15
8,This Week in Tech (Audio),22
8,Public Figures,9
8,The Room Podcast,42
9,Finding Mastery with Dr. Michael Gervais,15
9,Pablo Torre Finds Out,5
9,Daily Tech News Show,17
9,Candace,8
9,The $100M Entrepreneur Podcast,36
9,Just Ingredients,12
9,You Are Not Broken,8
9,The Dose,8
9,Jeff Lewis Has Issues,15
9,Deadly Engagement,5
9,EXPANDED Podcast by To Be Magnetic™,15
9,Las Culturistas with Matt Rogers and Bowen Yang,10
9,Live Free with Josh Howerton,6
10,James Reed: all about business,18
10,PBD Podcast,16
10,Triple Click,32
10,Morbid,3
10,Fantasy Baseball Today,2
10,DiPietro & Rothenberg,1
10,Start Here,5
10,Are You Garbage? Comedy Podcast,11
10,Founders,23
10,The Long Game with Jake Sullivan and Jon Finer,12
10,ZOE Science & Nutrition,7
10,The Paul Morris Podcast,43
10,The Jordan B. Peterson Podcast,15
10,Your Thoughts Your Reality,9
10,Grits and Eggs Podcast,8
10,Last Week in AI,38
10,Locked On Bills - Daily Podcast On The Buffalo Bills,2
10,The Pragmatic Engineer,49
10,Relocalizing Health with Dave Chase,11
10,Finding Peak w/ Ryan Hanley,40
10,Uncanny Valley | WIRED,45
10,Public Figures,9
10,This Week in AI,26
11,Ruthless Podcast,7
11,On the Media,10
11,Simple Stories in Spanish,7
11,Shell Game,17
11,The TED AI Show,47
11,Your Undivided Attention,23
11,ESPN FC,3
11,The Fighter & The Kid,4
11,9to5Mac Happy Hour,35
11,The Power Trip,2
11,Invest Like the Best with Patrick O'Shaughnessy,19
11,How to Spanish Podcast,9
11,The Long Game with Jake Sullivan and Jon Finer,15
11,The Pat McAfee Show,5
11,LONGEVITY with Nathalie Niddam,8
11,FoundMyFitness,8
11,Locked On Packers - Daily Podcast On The Green Bay Packers,5
11,The a16z Show,29
11,Embracing Digital Transformation,37
11,True Crime All The Time,1
11,Something Was Wrong,1
12,Brock and Salk,5
12,The Bulwark Podcast,14
12,The President's Daily Brief,9
12,The Ultimate Human with Gary Brecka,8
12,Betrayal Season 5,4
12,The Preamble,9
12,The Five,5
12,Happier Ladies,12
12,On the Media,12
12,A Better Way to Money,45
12,Primary Technology,24
12,Mayim Bialik's Breakdown,13
12,KILL TONY,6
12,Simple Stories in Spanish,15
12,Rise & Roar with the Badass Lioness,8
12,Fresh Air,5
13,The Liz Moody Podcast,10
13,The Michael Jackson Case for Innocence Podcast,4
13,Club Shay Shay,3
13,9to5Mac Happy Hour,43
13,Jeff Lewis Has Issues,8
13,Money Rehab with Nicole Lapin,45
13,Tell 'em Faulk,2
13,Bear Brook,1
13,Murder: True Crime Stories,2
13,Escaping the Drift with John Gafford,47
13,The Compound and Friends,42
13,Planet Money,24
13,Industry Optimized,50
13,Andrew Schulz's Flagrant with Akaash Singh,10
13,Something Was Wrong,3
13,"Me, Myself, and AI",41
13,Common-Sense Wellness,13
13,Panic World,32
13,3 Takeaways™,32
13,Scouting for Growth,16
14,La Gata,4
14,Aware and Aggravated,13
14,What's Your Story? with Steph McMahon,1
14,Take Your Shoes Off w/ Rick Glassman,15
14,Menopause Mastery,15
14,Sh!t That Goes On In Our Heads,13
14,Passion Struck with John R. Miles,15
14,"Baby, this is Keke Palmer",7
14,Let's Not Meet: A True Horror Podcast,1
14,All In with Chris Hayes,7
14,The Daily,5
14,Version History,35
14,"Murder, Mystery & Makeup",4
14,The Secret World of Roald Dahl,9
14,Forensic Files,3
14,Heed the Call NFL Podcast with Dan Hanzus & Marc Sessler,4
14,Blood and Water,3
14,Data Science With Sam,22
14,罗永浩的十字路口,33
14,"Feel Better, Live More with Dr Rangan Chatterjee",8
14,The Prosecutors,1
14,How to Spanish Podcast,12
14,The Intelligence from The Economist,15
14,Bill O’Reilly’s No Spin News and Analysis,12
15,Watch What Crappens,8
15,Into the Next,13
15,Judging Meghan,9
15,UnF*ck Your Brain: Feminist Self-Help for Everyone,12
15,Office Hours with Arthur Brooks,14
15,The Spirit Daughter Podcast,9
15,The Dan Bongino Show,10
15,The Bill Simmons Podcast,8
15,On Purpose with Jay Shetty,10
15,Planet Money,22
15,Your Mom's House with Christina P. and Tom Segura,15
15,Fresh Air,15
15,Main Justice,6
15,Betrayal Weekly,1
15,What's Your Story? with Steph McMahon,3
15,Happier Ladies,11
15,The Most Interesting Thing in AI,46
15,anything goes with emma chamberlain,9
15,"Extend Podcast with Darshan Shah, MD",11
15,Practical AI,17
15,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,1
15,The Lincoln Project,15
16,Embracing Digital Transformation,46
16,Fantasy Footballers - Fantasy Football Podcast,1
16,Wake Up to Wealth,50
16,True Crime with Kendall Rae,1
16,Unblinded with Sean Callagy,25
16,Served with Andy Roddick,3
16,Perform with Dr. Andy Galpin,6
16,The Zach Lowe Show,3
16,Always Connected,9
16,Juicy Scoop with Heather McDonald,13
16,Who Killed Roxanne?,5
16,Bred To Lead | With Dr. Jake Tayler Jacobs,47
16,The Plastic Surgery Playbook,6
16,Interrupted by Matt Jones,2
16,The Lets Read Podcast,2
16,The Team House,11
16,Real Baron Podcast,14
16,So True with Caleb Hearon,12
16,"The One You Feed | Personal Growth, Emotional Resilience & Purpose",13
16,BiggerPockets Money Podcast,26
16,The Dr. John Delony Show,15
16,Candace,5
16,Biohack-it,5
17,Small Town Murder,14
17,Locked On Cowboys - Daily Podcast On The Dallas Cowboys,4
17,Living The Red Life,34
17,True Crime All The Time Unsolved,5
17,Call Your Doctor,5
17,Into the Next,11
17,The Tamsen Show,9
17,Giggly Squad,9
17,Killer In The Code,5
17,The Rich Eisen Show,1
17,Blood Will Tell,3
17,Dumb Blonde,8
17,硅谷101,37
17,True Crime All The Time,5
17,Burden of Guilt,1
17,This Week in AI,35
18,SmartLess,8
18,The Binge Crimes: Fatal Fantasy,4
18,Suze Orman's Women & Money (And Everyone Smart Enough To Listen),24
18,"Extend Podcast with Darshan Shah, MD",5
18,The Dan Bongino Show,12
18,The a16z Show,25
18,Reply All,17
18,CHGO Chicago Bears Podcast,2
18,How Did This Get Made?,13
18,Freakonomics Radio,5
18,unPAUSED with Dr. Mary Claire Haver,12
19,Dumb Blonde,14
19,The Dr. Josh Axe Show,13
19,Escaping the Drift with John Gafford,43
19,First Take,1
19,Betrayal Weekly,2
19,Listen Then Speak,11
19,TigerBelly,11
19,Chill Spanish Listening Practice,6
19,Expert Intelligence with Paul Estes,22
19,The Mindset Mentor,14
20,Rates & Barrels: A show about Baseball,3
20,The Kim Komando Show,15
20,REAL AF with Andy Frisella,45
20,Tech Won't Save Us,23
20,The Interface,25
20,Office Ladies,14
20,Founder's Story,21
20,Maxwell Leadership Podcast,5
20,Locked On Dolphins - Daily Podcast On The Miami Dolphins,1
20,It's So Loud In Here!,14
21,Endless Thread,1
21,BiggerPockets Money Podcast,3
21,Get Better Faster,7
21,Get Up,1
21,Makes Sense - with Dr. JC Doornick,6
21,There Are No Girls on the Internet,1
21,The Michael Jackson Case for Innocence Podcast,17
21,"Extend Podcast with Darshan Shah, MD",6
21,The Commentary Magazine Podcast,5
21,Unblinded with Sean Callagy,1
21,True Crime All The Time,17
21,Six Feet Under with The Undertaker,2
21,Intrigue,33
21,Pablo Torre Finds Out,2
21,Data Science With Sam,4
21,Infamous,10
21,Chasing Life,7
21,Hard Fork,3
21,PBD Podcast,2
21,Small Town Dicks,22
21,Sex With Emily,13
21,Aspire with Emma Grede,4
21,The Rest Is Politics,5
21,Prof G Markets,4
21,Menopause Mastery,15
22,We The Builders,5
22,"2 Bears, 1 Cave with Tom Segura & Bert Kreischer",14
22,Prof G Markets,2
22,Jeff Lewis Has Issues,6
22,When We All Get To Heaven,10
22,"Murder, Mystery & Makeup",34
22,The Dan Patrick Show,5
22,32 Thoughts: The Podcast,2
22,Who Killed Roxanne?,28
22,Maxwell Leadership Podcast,11
22,Galaxy Brain,4
22,Triple Click,2
22,NerdWallet's Smart Money Podcast,5
22,A Better Way to Money,1
22,Bill O’Reilly’s No Spin News and Analysis,14
22,Money Rehab with Nicole Lapin,2
23,Live Free with Josh Howerton,10
23,BigDeal,1
23,The Clip Out - Peloton Fitness News,11
23,How to Find Money For College,15
23,We're Here to Help,7
23,A Beginner's Guide to AI,3
23,The Adam Friedland Show,6
23,Better Offline,4
23,Brock and Salk,4
23,The Illegal News with Sarah Longwell,11
23,Toni and Ryan,15
23,Clues with Morgan Absher and Kaelyn Moore,23
23,The Jordan B. Peterson Podcast,6
23,The Journal.,5
23,Young and Profiting with Hala Taha,3
24,www.whoisyourhero.com.au,10
24,Rates & Barrels: A show about Baseball,3
24,Bridge of Lies,15
24,Pillow Talks,7
24,CHGO Chicago Bears Podcast,1
24,Coffeez for Closers with Joe Shalaby,3
24,Armstrong & Getty On Demand,9
24,Learning English Conversations,11
24,First Things First,1
24,People are the Worst,40
24,The Dr. Gabrielle Lyon Show,6
24,WSJ What’s News,10
24,SmartLess,15
24,Live Like the World is Dying,12
24,Finding Mastery with Dr. Michael Gervais,12
24,The Rachel Maddow Show,8
24,Legion of Skanks Podcast,11
24,Being Well with Forrest Hanson and Dr. Rick Hanson,14
24,ok storytime,8
24,Going Public With Ross Mandell,11
24,The Five,15
24,Las Culturistas with Matt Rogers and Bowen Yang,7
25,The Ultimate Human with Gary Brecka,7
25,The Jesse Kelly Show,14
25,Latent Space: The AI Engineer Podcast,5
25,Shell Game,5
25,Pick Joy,10
25,The Pragmatic Engineer,3
25,The Ringer NFL Show,5
25,Immersive Spanish,11
25,Project Mind Control,15
25,Interesting Times with Ross Douthat,12
25,Collector Nation,3
25,Bourbon with Brad,3
25,Hacks and Hobbies with Junaid Ahmed,5
25,Habits and Hustle,3
25,The President's Daily Brief,9
25,Crime House 24/7,48
25,Reshaping Workflows with Dell Pro Precision and NVIDIA RTX PRO GPUs,3
25,The Weekly Show with Jon Stewart,12
25,The Ramsey Show,4
25,Late Night with Seth Meyers Podcast,15
25,The Jefferson Fisher Podcast,5
25,Know Thyself,11
26,Plain English with Derek Thompson,5
26,The Right Time with Bomani Jones,1
26,The Interface,1
26,True Crime with Kendall Rae,21
26,Morning Wire,6
26,PTI,1
26,More Life with Carl Radke,15
26,Apple Events,2
26,The Diary Of A CEO with Steven Bartlett,2
26,UnF*ck Your Brain: Feminist Self-Help for Everyone,15
